,Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Series,Publisher,Place,Language,Type,Archive,Library Catalog,Extra,Manual Tags,Number
0,IJTV6WV7,journalArticle,1914,"Angot, Alfred",On a Method for Classifying Winters,Monthly Weather Review,,10.1175/1520-0493(1914)42<625:OAMFCW>2.0.CO;2,https://journals.ametsoc.org/doi/abs/10.1175/1520-0493%281914%2942%3C625%3AOAMFCW%3E2.0.CO%3B2,,1914,625-625,,11,42,,,,English,,,,,"Angot, A.; France; Monthly Weather Review (J); French Meteorological Service",
1,XZIVQ8YQ,journalArticle,1914,"Angot, Alfred",On a Method for Classifying Summers,Monthly Weather Review,,10.1175/1520-0493(1914)42<628:OAMFCS>2.0.CO;2,,,1914,628-629,,11,42,,,,English,,,,,"Angot, A.; France; Monthly Weather Review (J); French Meteorological Service",
2,Q8HZHA47,book,1907,"Angot, Alfred",Traité élémentaire de météorologie,,,,,,1907,,,,,,Gauthier-Villars,Paris,French,,,,,"Angot, A.; France; French Meteorological Service; Book",
3,XSMUVYCH,book,1903,"Angot, Alfred",Instructions météorologiques,,,,,,1903,,,,,,Gauthier-Villars,Paris,French,,,,,"Angot, A.; France; French Meteorological Service; Book",
4,MYB4HS57,report,1930,"Sanson, J.",Relations entre le caractére météorologique des saisons et les rendements du blé dans le quart nord-ouest de la France. Conférence faite le 18 février 1930 à la Société Météorologique de France,,,,,,1930,,,,,,Office National Météorologique,Paris,French,,,Open WorldCat,OCLC: 800781684,"France; French Meteorological Service; Sanson, J.; Report/Proceedings",
5,PQLEU89J,book,1925,"Klein, P.; Sanson, J.",Météorologie et physique agricoles [Meteorology and agricultural physics],,,,,,1925,,464,,,Encyclopédie agricole,J.B. Baillière et fils,Paris,French,,+ WB 00332,,,"Book; France; French Meteorological Service; Klein, P.; Sanson, J.",
6,BZP6U6DC,book,1925,"Sanson, J.",La prévision du temps en agriculture,,,,,,1925,,,,,Encyclopédie agricole,J.B. Baillière et Fils,Paris,French,,,,,"France; French Meteorological Service; Book; Sanson, J.",
7,ZF23LQ9A,book,1918,"Connor, A. J.",Agricultural Meteorology. Relation of the Weather to the Yield of Wheat in Manitoba,,,,,,1918,,20,,,,Dominion Bureau of Statistics,Ottawa,English,,,,,"Connor, A. J.; Canadian Meteorological Service; Canada; Book (reprint of a journal article)",
8,XTW2JJHU,journalArticle,1924,"Azzi, G.",L'Écologie Agricole,Journal d'agriculture traditionnelle et de botanique appliquée,,10.3406/jatba.1924.4136,https://www.persee.fr/doc/jatba_0370-3681_1924_num_4_29_4136,,1924,24-33,,29,4,,,,French,,,www.persee.fr,,"Azzi, G.; International Institute of Agriculture; Italian Central Office of Meteorology and Geodynamics/University of Perugia; Italy; Journal d'agriculture traditionnelle et de botanique appliquée (J)",
9,LVR77UMQ,journalArticle,1922,"Azzi, G.",The Problem of Agricultural Ecology,Monthly Weather Review,,10.1175/1520-0493(1922)50<193a:TPOAE>2.0.CO;2,,,1922,193-193,,4,50,,,,English,,+WB 00004,,,"Azzi, G.; Italian Central Office of Meteorology and Geodynamics/University of Perugia; Italy; Monthly Weather Review (J)",
