Publication Title,Category,Category2,Language
Acoreana,Natural History,,
Acta Agralia Fennica,Agriculture,,
Acta Jutlandica,General Science,,
Acta Phaenologica,Agriculture,,
Acta Societatis Botanicorum Poloniae,Botany/Plant Breeding,,
Actes de la Société linnéenne de Bordeaux,Natural History,,
Actes et Comptes Rendus de l’Association Colonies-Sciences,Agriculture,,
Agrario levantino,Agriculture,,
Agricoltura coloniale,Agriculture,,
Agricultura Sinica,Agriculture,,
Agricultural Engineering,Engineering,,
Agricultural Gazette of New South Wales,Agriculture,,
Agricultural Journal of India,Agriculture,,
Agriculture and Livestock in India,Agriculture,,
Akad. Nauk S.S.S.R.,ND,,
Alimentación Nacional,Food Science,,
Allgemeine Forst- und Jagdzeitung,Forestry,,
American Journal of Botany,Botany/Plant Breeding,,
American Journal of Physiology,Medicine/Physiology,,
American Journal of Science,General Science,,
American Midland Naturalist,Natural History,,
American Naturalist,Natural History,,
American Potato Journal,Food Science,,
American Society for Horticultural Science Proceedings,Horticulture,,
Anales Científicos Paraguayos,General Science,,
Ann. fac. agr.,Agriculture,,
Ann. sci. agron.,Agriculture,,
Annalen der Hydrographie und maritimen Meteorologie,Hydrology,,
Annalen der Meteorologie,Meteorology,,
Annales agronomiques,Agriculture,,
Annales de Gembloux,Agriculture,,
Annales de Géographie,Geography,,
Annales de l'Institut National de la recherche agronomique,Agriculture,,
Annales de l'Institut Pasteur,Biology,,
Annales des Services techniques d'hygiène de la Ville de Paris,Medicine/Physiology,,
"Annales des epiphyties, publiées par l'Institut de recherches agronomiques",Agriculture,,
Annales des sciences naturelles – Botanique,Botany/Plant Breeding,,
Annali del Regio Instituto Superiore Agrario di Portici,Agriculture,,
Annali di Sperimentazione Agraria (Rome),Agriculture,,
Annali di botanica,Botany/Plant Breeding,,
Annali di chimica applicata (Rome),Chemistry,,
Annali di geofisica (Rome),Physics/Geophysics,,
Annali di tecnica agraria,Agriculture,,
Annales de l'Ecole National d'Agriculture,Agriculture,,
Annals of Applied Biology,Biology,,
