Proceedings of the American Society for Horticultural Science,100
Journal of Agricultural Research,93
Plant Physiology,68
Monthly Weather Review,67
Botanical Gazette,62
Journal of the American Society of Agronomy,53
American Journal of Botany,50
Meteorologia pratica,42
La Météorologie,40
Science,38
Ecology,35
Comptes rendus hebdomadaires des séances de l'Académie des Sciences (Paris),35
Quarterly Journal of the Royal Meteorological Society,34
"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, Genetics, and Plant Breeding]",32
Soil Science,31
Bulletin of the American Meteorological Society,28
Comptes rendus hebdomadaires des séances de l'Académie d'Agriculture de France,27
Annals of Botany,25
Annals of Applied Biology,24
Journal of Forestry,24
Journal d'Agriculture pratique,23
Scientific Agriculture,21
Nature,20
Bioklimatische Beiblätter der Meteorologischen Zeitschrift,18
Landwirtschaftliche Jahrbücher,18
Meteorologische Zeitschrift,18
Annales agronomiques,17
Phytopathology,17
Forstwissenschaftliches Centralblatt,16
Journal of Economic Entomology,16
Canadian Journal of Research,15
Vestnik E.G.M.S. [Journal of the United Hydrometeorological Service],15
Bulletin des Engrais,14
Journal forestier suisse,14
Geographical Review,13
Fortschritte der Landwirtschaft,12
Journal of the Ministry of Agriculture,12
Gerlands Beiträge zur Geophysik,11
Current Science,11
Sov. Kraevedenie [Soviet Local Studies],11
Journal of Agricultural Science,11
Hawaiian Planters' Record,10
Berichte der deutschen Botanischen Gesellschaft,10
Progrès agricole et viticole,10
Michigan Agricultural Experiment Station Quarterly Bulletin,10
Weather,9
Journal für Landwirtschaft,9
Sotsialisticheskoe zernovoe khoziaistvo [Socialist Grain Economy],9
"Trudy po prikladnoi botanike, genetike i selektsii. Seriya  3. Fiziologiya,  biokhimiya i anatomiya rastenii [Bulletin of Applied Botany, Genetics, and Plant Breeding. Series 3. Physiology, biochemistry and anatomy of plants]",9
Wissenschaftliches Archiv für Landwirtschaft. Abteilung A: Archiv für Pflanzenbau,9
Monthly Bulletin of Agricultural Science and Practice,9
Mitteilungen der Deutschen Landwirtschaftsgesellschaft,9
Zeitschrift für angewandte Meteorologie,9
Deutsche Landwirtschaftliche Presse,8
Proceedings of the Section of Sciences of the Koninklijke Akademie van Wetenschappen,8
Botaničeskij žurnal SSSR [Botanical Journal of the USSR],8
Kühn-Archiv,8
Proceedings of the Royal Society,8
Pflanzenbau,7
Die Naturwissenschaften,7
Doklady Akad. Nauk S.S.S.R.,7
New Phytologist,7
Centralblatt für das gesamte Forstwesen,7
"Eos, Transactions, American Geophysical Union",7
Bollettino della Società Italiana di Biologia Sperimentale,7
Der Züchter,7
Proceedings of the Soil Science Society of America,7
Journal of Heredity,7
American Potato Journal,7
Journal of General Physiology,7
Journal of Meteorology,7
Canadian Journal of Research (Section C),7
Indian Journal of Agricultural Science,7
Bulletin of the Torrey Botanical Club,7
The Journal of the Department of Agriculture (Victoria),7
Agricultural Engineering,7
Revue générale de botanique,6
Meteorological Magazine,6
Botanical Review,6
Geografiska Annaler,6
Meteorologiia i Gidrologiia [Meteorology and Hydrology],6
Klimat i Pogoda [Climate and Weather],6
Transactions of the Illuminating Engineering Society,6
Žurnal Geofizika [Journal of Geophysics],6
Svenska Mosskulturföreningens Tidskrift,6
The Gardeners' Chronicle,6
Gaz. Obserwatora Państwowego Inst. Hydrol.-Meteorol.,6
Zeitschrift für wissenschaftliche Biologie. Abteilung E,6
[Comptes rendu de'l Academie des Sciences d'U.R.S.S.],5
Italia agricola,5
La Vie agricole et rurale,5
Jahrbücher für wissenschaftliche Botanik,5
Kolhoznik Sad i Ogorod [Kolkhoz Garden],5
Trans. Bur. Agromet.,5
Bulletin of the Czechoslovak Academy of Agriculture,5
Plodovoscn. Choz.,5
Comptes rendus des séances de l'Académie d'agriculture de France,5
La Nature,5
Reports of the Experimental and Research Station Cheshunt,5
Meteorologische Rundschau,5
Annali di tecnica agraria,5
Memoirs of the Department of Agriculture in India,5
Meddelanden från Statens Skogsförsöksanstalt [Reports of the Swedish Institute of Experimental Forestry],5
Met. Vestnik,5
Izv. Kazansk. Sel. Choz. Inst. [Bulletin of the Kazan Institute of agricultural economy],5
O.M.I. Pub.,5
Proceedings of the Iowa Academy of Science,5
Das Wetter,5
Acta Societatis Botanicorum Poloniae,5
Journal of the Royal Horticultural Society,5
Na lessokult. fronte,5
Revue générale des Sciences pures et appliquées,4
Sov. Subtropiki,4
Der Kulturtechniker,4
Phillippine Agriculturist,4
Az Idöjárás [The Weather],4
Acta Phaenologica,4
Berichte des Ōhara Instituts für landwirtschaftliche Forschungen,4
"Zeitschrift für Pflanzenernährung, Düngung, Bodenkunde",4
Revue scientifique,4
Landwirtschaftliche Wochenschrift für die Provinz Sachsen,4
The Plant World,4
Contr. Agric. Met.,4
Zeitschrift für Botanik,4
Trudy po Sel. Choz. Meteorolog.,4
The California Citrograph,4
Elektrif. Sel. Choz.,4
Botanisches Archiv,4
Agriculture and Livestock in India,4
Proceedings of the Indian Academy of Sciences A,4
Proceedings of the Royal Society of Edinburgh,4
Journal of the Society of Tropical Agriculture,4
Revue de Botanique appliquée et d'Agriculture tropicale,4
Journal of Pomology and Horticultural Science,4
Progr. Agr. Pecuario,4
Revue de Viticulture,4
Proceedings of the Indian Academy of Sciences,4
Bulletin of the American Geographical Society,4
Die Kartoffel,4
The Journal of Agricultural Science,4
Bulletin of Entomological Research,4
Izvestiya Akademii Nauk S.S.S.R. [Bulletin of the Academy of Sciences of the USSR],4
Sborn. naucn. issled. rabot Severn. Kavkaz. Zern. Inst. [The Collection of Scientific Research Works of the North Caucasus Grain Institute],4
Journal of Ecology,4
K possevnoi,4
Meldinger Norges Landbrukshøgskole [Reports of the Norwegian Agricultural University],4
Comptes rendus du congrès des sociétés savantes de Paris et des départements (Section des Sciences),4
Nuovo giornale botanico italiano,3
Svenska skogsvårdsföreningens tidskrift [Journal of the Swedish Forest Management Association],3
Wiener Allgemeine Forst- und Jagdzeitung,3
The East African Agricultural Journal,3
Journal of the Optical Society of America,3
Empire Journal of Experimental Agriculture,3
Semjenovodstvo,3
Florists' Exchange and Horticultural Trade World,3
Technical Bulletin of the U.S. Department of Agriculture,3
Mühlenlaboratorium,3
Hilgardia,3
"Trudy po prikladnoi botanike, genetike i selektsii [Bulletin of Applied Botany, of Genetics and Plant Breeding]",3
