sugar:  [50]
plant:  [35]
temperature:  [25]
winter:  [25]
cold:  [23]
cell:  [23]
ice:  [22]
freeze:  [17]
starch:  [17]
cool:  [16]
water:  [16]
find:  [15]
leaf:  [14]
effect:  [12]
lidforss:  [12]
formation:  [12]
sap:  [12]
proteid:  [12]
work:  [9]
gorke:  [9]
protoplasm:  [9]
solution:  [9]
kill:  [8]
fall:  [8]
great:  [7]
low:  [7]
result:  [7]
molisch:  [7]
muller:  [7]
tissue:  [7]
place:  [7]
point:  [7]
salt:  [7]
thawing:  [7]
protective:  [7]
frost:  [7]
solid:  [6]
long:  [6]
green:  [6]
mez:  [6]
dessication:  [6]
freezing:  [6]
course:  [6]
form:  [6]
like:  [6]
hold:  [6]
precipitate:  [6]
warm:  [6]
potato:  [6]
bd:  [6]
suffer:  [5]
heat:  [5]
general:  [5]
present:  [5]
flora:  [5]
thurgau:  [5]
change:  [5]
direct:  [5]
zero:  [5]
phenomenon:  [5]
death:  [5]
tree:  [5]
time:  [5]
contain:  [5]
day:  [5]
über:  [5]
live:  [4]
way:  [4]
remain:  [4]
early:  [4]
concentrated:  [4]
mixture:  [4]
observe:  [4]
till:  [4]
fatal:  [4]
act:  [4]
view:  [4]
action:  [4]
experiment:  [4]
case:  [4]
rate:  [4]
susceptible:  [4]
clearly:  [4]
phase:  [4]
night:  [4]
require:  [4]
increase:  [4]
protection:  [4]
spring:  [4]
's:  [4]
content:  [4]
presence:  [4]
tuber:  [4]
accumulation:  [4]
concentration:  [4]
erfrieren:  [4]
pflanzen:  [4]
frozen:  [3]
characteristic:  [3]
produce:  [3]
non:  [3]
adaptation:  [3]
environment:  [3]
consider:  [3]
account:  [3]
matter:  [3]
ago:  [3]
south:  [3]
pass:  [3]
establish:  [3]
prolonged:  [3]
sappy:  [3]
high:  [3]
resistant:  [3]
balance:  [3]
withdraw:  [3]
rise:  [3]
class:  [3]
partly:  [3]
substance:  [3]
oil:  [3]
true:  [3]
exceptional:  [3]
outside:  [3]
dry:  [3]
cause:  [3]
proceed:  [3]
attain:  [3]
quick:  [3]
soon:  [3]
develop:  [3]
minimum:  [3]
quickly:  [3]
injury:  [3]
injure:  [3]
express:  [3]
bring:  [3]
addition:  [3]
precipitation:  [3]
—7:  [3]
yield:  [3]
nature:  [3]
acidity:  [3]
interesting:  [3]
mesophyll:  [3]
summer:  [3]
transpiration:  [3]
survive:  [3]
diminish:  [3]
diastatic:  [3]
reaction:  [3]
equilibrium:  [3]
direction:  [3]
h.:  [3]
das:  [3]
der:  [3]
chill:  [2]
feather:  [2]
contrast:  [2]
suggest:  [2]
protect:  [2]
near:  [2]
enquiry:  [2]
occur:  [2]
article:  [2]
detailed:  [2]
sweden:  [2]
literature:  [2]
subject:  [2]
come:  [2]
begin:  [2]
publish:  [2]
hardly:  [2]
notice:  [2]
fact:  [2]
bacteria:  [2]
exposure:  [2]
liquid:  [2]
essential:  [2]
injurious:  [2]
constituent:  [2]
observation:  [2]
microscope:  [2]
good:  [2]
suddenly:  [2]
capillary:  [2]
wall:  [2]
look:  [2]
film:  [2]
pure:  [2]
steadily:  [2]
large:  [2]
trace:  [2]
reverse:  [2]
slowly:  [2]
recovery:  [2]
finally:  [2]
demonstrate:  [2]
complete:  [2]
red:  [2]
—5:  [2]
fluorescence:  [2]
obvious:  [2]
exhibit:  [2]
treatment:  [2]
odour:  [2]
post:  [2]
mortem:  [2]
difference:  [2]
different:  [2]
think:  [2]
stand:  [2]
advantage:  [2]
lie:  [2]
watery:  [2]
crystallise:  [2]
radiation:  [2]
store:  [2]
periderm:  [2]
little:  [2]
warmth:  [2]
principle:  [2]
biological:  [2]
thermo:  [2]
accord:  [2]
cooling:  [2]
simply:  [2]
composition:  [2]
new:  [2]
factor:  [2]
know:  [2]
neutral:  [2]
denature:  [2]
soluble:  [2]
barley:  [2]
control:  [2]
expressed:  [2]
egg:  [2]
transfer:  [2]
acid:  [2]
alkali:  [2]
ordinary:  [2]
help:  [2]
mid:  [2]
bear:  [2]
belong:  [2]
holosteum:  [2]
etc:  [2]
regenerate:  [2]
exception:  [2]
