weather:  [27]
irrigation:  [24]
problem:  [23]
water:  [23]
crop:  [20]
value:  [18]
soil:  [16]
air:  [16]
vapour:  [16]
temperature:  [15]
surface:  [15]
estimate:  [15]
use:  [13]
heat:  [13]
plant:  [12]
time:  [12]
sunshine:  [12]
plot:  [12]
end:  [11]
moisture:  [11]
condition:  [10]
treatment:  [10]
apply:  [10]
day:  [10]
great:  [10]
radiation:  [10]
pressure:  [10]
deficit:  [10]
meteorology:  [9]
experiment:  [9]
second:  [9]
mean:  [9]
operation:  [8]
find:  [8]
factor:  [8]
july:  [8]
yield:  [7]
physical:  [7]
evaporation:  [7]
main:  [7]
meteorological:  [7]
forecast:  [7]
sufficient:  [7]
small:  [7]
maximum:  [7]
r:  [7]
e:  [7]
week:  [7]
group:  [6]
datum:  [6]
balance:  [6]
result:  [6]
base:  [6]
paper:  [6]
year:  [6]
note:  [6]
's:  [6]
wind:  [6]
rain:  [6]
turbulent:  [6]
set:  [6]
penman:  [6]
h:  [6]
obtain:  [6]
field:  [6]
statistical:  [5]
biological:  [5]
arise:  [5]
study:  [5]
growth:  [5]
wide:  [5]
general:  [5]
type:  [5]
represent:  [5]
present:  [5]
need:  [5]
insect:  [5]
way:  [5]
formula:  [5]
expression:  [5]
measure:  [5]
supply:  [5]
bear:  [5]
neglect:  [5]
hour:  [5]
coefficient:  [5]
net:  [5]
bright:  [5]
write:  [5]
equation:  [5]
period:  [5]
ea:  [5]
change:  [5]
august:  [5]
farm:  [4]
planning:  [4]
farming:  [4]
spread:  [4]
disease:  [4]
transport:  [4]
energy:  [4]
draw:  [4]
sugar:  [4]
permit:  [4]
total:  [4]
good:  [4]
i.:  [4]
survey:  [4]
division:  [4]
activity:  [4]
attempt:  [4]
order:  [4]
kind:  [4]
short:  [4]
mr.:  [4]
single:  [4]
thornethwaite:  [4]
know:  [4]
degree:  [4]
come:  [4]
velocity:  [4]
simple:  [4]
wave:  [4]
open:  [4]
atmosphere:  [4]
cloud:  [4]
reduce:  [4]
cover:  [4]
ratio:  [4]
reach:  [4]
